Rt I-76 PA WB L2 run120171111_0756_Rt 76 WB Begin_Profile_ODS1 (Profile 1 (Gocator2342)) - Distance (ft)	Rt I-76 PA WB L2 run120171111_0756_Rt 76 WB Begin_Profile_ODS1 (Profile 1 (Gocator2342))_Full	Rt I-76 PA WB L2 run120171111_0756_Rt 76 WB Begin_Profile_ODS2 (Profile 2 (Gocator2342)) - Distance (ft)	Rt I-76 PA WB L2 run120171111_0756_Rt 76 WB Begin_Profile_ODS2 (Profile 2 (Gocator2342))_Full
1.9073486328125E-06	-0.4650624	1.9073486328125E-06	-0.4519605
0.0820229053497314	-0.4638312	0.0820229053497314	-0.450366
0.16404390335083	-0.4626471	0.16404390335083	-0.4499916
0.246064901351929	-0.4613316	0.246064901351929	-0.4502434
0.328085899353027	-0.4631132	0.328085899353027	-0.450467
0.410106897354126	-0.4619588	0.410106897354126	-0.4507369
0.492127895355225	-0.4621865	0.492127895355225	-0.4495386
0.574148893356323	-0.4619512	0.574148893356323	-0.4473134
0.656169891357422	-0.4632011	0.656169891357422	-0.4453707
0.738190889358521	-0.4630572	0.738190889358521	-0.4480446
0.820211887359619	-0.4622737	0.820211887359619	-0.4474392
0.902232885360718	-0.4634838	0.902232885360718	-0.4461094
0.984253883361816	-0.4643291	0.984253883361816	-0.4453617
1.06627488136292	-0.4644567	1.06627488136292	-0.4435405
1.14829587936401	-0.4691942	1.14829587936401	-0.4437387
1.23031687736511	-0.4700861	1.23031687736511	-0.4424534
1.31233787536621	-0.4708697	1.31233787536621	-0.4431189
1.39435887336731	-0.4691882	1.39435887336731	-0.4423972
1.47637987136841	-0.4679247	1.47637987136841	-0.4424389
1.55840086936951	-0.4661807	1.55840086936951	-0.4452366
1.64042186737061	-0.4649348	1.64042186737061	-0.4430116
1.7224428653717	-0.4627011	1.7224428653717	-0.4436319
1.8044638633728	-0.460932	1.8044638633728	-0.4423929
1.8864848613739	-0.4595846	1.8864848613739	-0.4420518
1.968505859375	-0.4608394	1.968505859375	-0.4407955
2.0505268573761	-0.4586945	2.0505268573761	-0.4394318
2.1325478553772	-0.4559202	2.1325478553772	-0.439585
2.2145688533783	-0.4531242	2.2145688533783	-0.4393086
2.29658985137939	-0.4513564	2.29658985137939	-0.4389248
2.37861084938049	-0.4485844	2.37861084938049	-0.4401343
2.46063184738159	-0.446796	2.46063184738159	-0.4384106
2.54265284538269	-0.444051	2.54265284538269	-0.4365271
2.62467384338379	-0.4421541	2.62467384338379	-0.4357101
2.70669484138489	-0.4433877	2.70669484138489	-0.4338702
2.78871583938599	-0.4411711	2.78871583938599	-0.433509
2.87073683738709	-0.4398568	2.87073683738709	-0.4326617
2.95275783538818	-0.4384999	2.95275783538818	-0.4328412
3.03477883338928	-0.4402116	3.03477883338928	-0.4319282
3.11679983139038	-0.439403	3.11679983139038	-0.4346046
3.19882082939148	-0.4425547	3.19882082939148	-0.4323776
3.28084182739258	-0.4433285	3.28084182739258	-0.4305113
3.36286282539368	-0.4440179	3.36286282539368	-0.4276496
3.44488382339478	-0.4451551	3.44488382339478	-0.4272136
3.52690482139587	-0.4484073	3.52690482139587	-0.4274009
3.60892581939697	-0.4471317	3.60892581939697	-0.4260283
3.69094681739807	-0.4487797	3.69094681739807	-0.4261851
3.77296781539917	-0.4485274	3.77296781539917	-0.4242974
3.85498881340027	-0.4472426	3.85498881340027	-0.4258961
3.93700981140137	-0.4439522	3.93700981140137	-0.4250939
4.01903080940247	-0.4411016	4.01903080940247	-0.424194
4.10105180740356	-0.4392802	4.10105180740356	-0.4238323
4.18307280540466	-0.4378892	4.18307280540466	-0.4224659
4.26509380340576	-0.4405759	4.26509380340576	-0.421572
4.34711480140686	-0.4383112	4.34711480140686	-0.4206986
4.42913579940796	-0.4364511	4.42913579940796	-0.4193248
4.51115679740906	-0.4351168	4.51115679740906	-0.418868
4.59317779541016	-0.4337818	4.59317779541016	-0.4224815
4.67519879341125	-0.4319501	4.67519879341125	-0.4226222
4.75721979141235	-0.4296084	4.75721979141235	-0.4242141
4.83924078941345	-0.427265	4.83924078941345	-0.4243494
4.92126178741455	-0.4249065	4.92126178741455	-0.423933
5.00328278541565	-0.423561	5.00328278541565	-0.4255295
5.08530378341675	-0.420212	5.08530378341675	-0.4256436
5.16732478141785	-0.4183423	5.16732478141785	-0.4252433
5.24934577941895	-0.4169898	5.24934577941895	-0.4238457
5.33136677742004	-0.4136309	5.33136677742004	-0.4214386
5.41338777542114	-0.4097636	5.41338777542114	-0.4190097
5.49540877342224	-0.4063914	5.49540877342224	-0.4195913
5.57742977142334	-0.4035171	5.57742977142334	-0.4176813
5.65945076942444	-0.3991408	5.65945076942444	-0.4152556
5.74147176742554	-0.393763	5.74147176742554	-0.4128274
5.82349276542664	-0.3933885	5.82349276542664	-0.4124005
5.90551376342773	-0.3915008	5.90551376342773	-0.4114685
5.98753476142883	-0.3901179	5.98753476142883	-0.4110377
6.06955575942993	-0.3882174	6.06955575942993	-0.4100963
6.15157675743103	-0.384317	6.15157675743103	-0.4086679
6.23359775543213	-0.3814372	6.23359775543213	-0.4102328
6.31561875343323	-0.3800416	6.31561875343323	-0.4097726
6.39763975143433	-0.3781407	6.39763975143433	-0.4083249
6.47966074943542	-0.3767352	6.47966074943542	-0.4073868
6.56168174743652	-0.3758831	6.56168174743652	-0.4074392
6.64370274543762	-0.3794626	6.64370274543762	-0.4074874
6.72572374343872	-0.3769836	6.72572374343872	-0.407004
6.80774474143982	-0.3746001	6.80774474143982	-0.4040412
6.88976573944092	-0.3731877	6.88976573944092	-0.4025752
