Rt I-76 PA EB L1run120171111_0823_Rt 76 EB Begin_Profile_ODS1 (Profile 1 (Gocator2342)) - Distance (ft)	Rt I-76 PA EB L1run120171111_0823_Rt 76 EB Begin_Profile_ODS1 (Profile 1 (Gocator2342))_Full	Rt I-76 PA EB L1run120171111_0823_Rt 76 EB Begin_Profile_ODS2 (Profile 2 (Gocator2342)) - Distance (ft)	Rt I-76 PA EB L1run120171111_0823_Rt 76 EB Begin_Profile_ODS2 (Profile 2 (Gocator2342))_Full
-6.43730163574219E-06	0.09300487	-6.43730163574219E-06	-0.4485822
0.0820145606994629	0.09300485	0.0820145606994629	-0.4496697
0.164035558700562	0.0929224	0.164035558700562	-0.4504285
0.24605655670166	0.09398597	0.24605655670166	-0.4518446
0.328077554702759	0.09585423	0.328077554702759	-0.4534203
0.410098552703857	0.09500783	0.410098552703857	-0.4527119
0.492119550704956	0.09478661	0.492119550704956	-0.4525654
0.574140548706055	0.09497889	0.574140548706055	-0.4533317
0.656161546707153	0.09351502	0.656161546707153	-0.4541756
0.738182544708252	0.0922566	0.738182544708252	-0.4541336
0.820203542709351	0.09181023	0.820203542709351	-0.4535357
0.902224540710449	0.09290467	0.902224540710449	-0.4528816
0.984245538711548	0.09479804	0.984245538711548	-0.451559
1.06626653671265	0.09728248	1.06626653671265	-0.4501974
1.14828753471375	0.09651056	1.14828753471375	-0.449243
1.23030853271484	0.09569805	1.23030853271484	-0.4469277
1.31232953071594	0.09627369	1.31232953071594	-0.4446381
1.39435052871704	0.09739257	1.39435052871704	-0.4447547
1.47637152671814	0.09883157	1.47637152671814	-0.444245
1.55839252471924	0.09867172	1.55839252471924	-0.4438069
1.64041352272034	0.09945942	1.64041352272034	-0.4439593
1.72243452072144	0.1003116	1.72243452072144	-0.4430942
1.80445551872253	0.1005911	1.80445551872253	-0.4433404
1.88647651672363	0.1003932	1.88647651672363	-0.44317
1.96849751472473	0.1008434	1.96849751472473	-0.4428119
2.05051851272583	0.1021573	2.05051851272583	-0.4429986
2.13253951072693	0.1024446	2.13253951072693	-0.442803
2.21456050872803	0.1029392	2.21456050872803	-0.4427975
2.29658150672913	0.1042842	2.29658150672913	-0.4436953
2.37860250473022	0.1067085	2.37860250473022	-0.4430169
2.46062350273132	0.1085164	2.46062350273132	-0.4420038
2.54264450073242	0.1104307	2.54264450073242	-0.4406141
2.62466549873352	0.1123046	2.62466549873352	-0.4400095
2.70668649673462	0.1141973	2.70668649673462	-0.4392229
2.78870749473572	0.1160209	2.78870749473572	-0.4369552
2.87072849273682	0.1180674	2.87072849273682	-0.4362279
2.95274949073792	0.1201078	2.95274949073792	-0.4354768
3.03477048873901	0.120515	3.03477048873901	-0.4357093
3.11679148674011	0.1225278	3.11679148674011	-0.4358343
3.19881248474121	0.124319	3.19881248474121	-0.435991
3.28083348274231	0.125467	3.28083348274231	-0.4361623
3.36285448074341	0.125264	3.36285448074341	-0.4362795
3.44487547874451	0.125709	3.44487547874451	-0.4359287
3.52689647674561	0.127214	3.52689647674561	-0.4342839
3.6089174747467	0.1306566	3.6089174747467	-0.4294545
3.6909384727478	0.1343737	3.6909384727478	-0.4269339
3.7729594707489	0.1371711	3.7729594707489	-0.4267626
3.85498046875	0.1404108	3.85498046875	-0.4274413
3.9370014667511	0.1421928	3.9370014667511	-0.4271122
4.0190224647522	0.1449873	4.0190224647522	-0.4263399
4.1010434627533	0.1472531	4.1010434627533	-0.425563
4.18306446075439	0.1495242	4.18306446075439	-0.4238049
4.26508545875549	0.1517911	4.26508545875549	-0.4215633
4.34710645675659	0.154071	4.34710645675659	-0.420784
4.42912745475769	0.1548606	4.42912745475769	-0.4210187
4.51114845275879	0.1561095	4.51114845275879	-0.4212624
4.59316945075989	0.1569344	4.59316945075989	-0.421576
4.67519044876099	0.1567191	4.67519044876099	-0.4203801
4.75721144676209	0.1569533	4.75721144676209	-0.4200915
4.83923244476318	0.1571564	4.83923244476318	-0.4190907
4.92125344276428	0.1587265	4.92125344276428	-0.4163247
5.00327444076538	0.1610134	5.00327444076538	-0.4163008
5.08529543876648	0.1619398	5.08529543876648	-0.417129
5.16731643676758	0.1621274	5.16731643676758	-0.4178631
5.24933743476868	0.1628656	5.24933743476868	-0.4191385
5.33135843276978	0.1627181	5.33135843276978	-0.4200147
5.41337943077087	0.1627683	5.41337943077087	-0.4205508
5.49540042877197	0.1634741	5.49540042877197	-0.4191464
5.57742142677307	0.1637634	5.57742142677307	-0.4180541
5.65944242477417	0.1639776	5.65944242477417	-0.4188896
5.74146342277527	0.1638058	5.74146342277527	-0.4178438
5.82348442077637	0.1633796	5.82348442077637	-0.4155879
5.90550541877747	0.1638321	5.90550541877747	-0.4142181
5.98752641677856	0.1646501	5.98752641677856	-0.4134753
6.06954741477966	0.1645767	6.06954741477966	-0.413222
6.15156841278076	0.1642794	6.15156841278076	-0.4131684
6.23358941078186	0.1664134	6.23358941078186	-0.4128509
6.31561040878296	0.1683066	6.31561040878296	-0.4139121
6.39763140678406	0.1681601	6.39763140678406	-0.4146694
6.47965240478516	0.1682284	6.47965240478516	-0.4150219
6.56167340278625	0.1676283	6.56167340278625	-0.4150496
6.64369440078735	0.1674108	6.64369440078735	-0.4152483
6.72571539878845	0.1672784	6.72571539878845	-0.4155305
6.80773639678955	0.1671243	6.80773639678955	-0.4147058
6.88975739479065	0.1675588	6.88975739479065	-0.4160302
6.97177839279175	0.1684122	6.97177839279175	-0.4160533
7.05379939079285	0.1678992	7.05379939079285	-0.4138669
7.13582038879395	0.1679596	7.13582038879395	-0.4118705
