Rt I-76 PA EB L2run120171111_0801_Rt 76 EB Begin_Profile_ODS1 (Profile 1 (Gocator2342)) - Distance (ft)	Rt I-76 PA EB L2run120171111_0801_Rt 76 EB Begin_Profile_ODS1 (Profile 1 (Gocator2342))_Full	Rt I-76 PA EB L2run120171111_0801_Rt 76 EB Begin_Profile_ODS2 (Profile 2 (Gocator2342)) - Distance (ft)	Rt I-76 PA EB L2run120171111_0801_Rt 76 EB Begin_Profile_ODS2 (Profile 2 (Gocator2342))_Full
-5.48362731933594E-06	-0.557458	-5.48362731933594E-06	0.2450678
0.0820155143737793	-0.5599385	0.0820155143737793	0.2435284
0.164036512374878	-0.5620657	0.164036512374878	0.2390607
0.246057510375977	-0.5641657	0.246057510375977	0.237362
0.328078508377075	-0.5664712	0.328078508377075	0.2371756
0.410099506378174	-0.5703862	0.410099506378174	0.233607
0.492120504379272	-0.5742989	0.492120504379272	0.231541
0.574141502380371	-0.577063	0.574141502380371	0.229404
0.65616250038147	-0.5805859	0.65616250038147	0.2260573
0.738183498382568	-0.5828113	0.738183498382568	0.2237286
0.820204496383667	-0.5859786	0.820204496383667	0.2206441
0.902225494384766	-0.5880085	0.902225494384766	0.2173093
0.984246492385864	-0.587791	0.984246492385864	0.2143821
1.06626749038696	-0.5846522	1.06626749038696	0.2107658
1.14828848838806	-0.5848659	1.14828848838806	0.2069411
1.23030948638916	-0.5857333	1.23030948638916	0.2033351
1.31233048439026	-0.5876874	1.31233048439026	0.1998087
1.39435148239136	-0.5898222	1.39435148239136	0.1985231
1.47637248039246	-0.5916474	1.47637248039246	0.1963616
1.55839347839355	-0.5938462	1.55839347839355	0.1947415
1.64041447639465	-0.5956095	1.64041447639465	0.1924247
1.72243547439575	-0.5971359	1.72243547439575	0.1886749
1.80445647239685	-0.5970518	1.80445647239685	0.1887416
1.88647747039795	-0.5962632	1.88647747039795	0.1855499
1.96849846839905	-0.5956016	1.96849846839905	0.1823998
2.05051946640015	-0.5947314	2.05051946640015	0.180365
2.13254046440125	-0.5937021	2.13254046440125	0.1779368
2.21456146240234	-0.5936144	2.21456146240234	0.1766375
2.29658246040344	-0.5934097	2.29658246040344	0.175561
2.37860345840454	-0.5931987	2.37860345840454	0.1736906
2.46062445640564	-0.5931796	2.46062445640564	0.1711923
2.54264545440674	-0.5914031	2.54264545440674	0.1690388
2.62466645240784	-0.5869762	2.62466645240784	0.1665567
2.70668745040894	-0.5859799	2.70668745040894	0.1653294
2.78870844841003	-0.5852328	2.78870844841003	0.1637431
2.87072944641113	-0.5849657	2.87072944641113	0.1616547
2.95275044441223	-0.5848849	2.95275044441223	0.1614735
3.03477144241333	-0.5833634	3.03477144241333	0.1596916
3.11679244041443	-0.5835215	3.11679244041443	0.1588764
3.19881343841553	-0.5830916	3.19881343841553	0.1579313
3.28083443641663	-0.5820507	3.28083443641663	0.1565871
3.36285543441772	-0.5824149	3.36285543441772	0.155378
3.44487643241882	-0.5839937	3.44487643241882	0.1523907
3.52689743041992	-0.5861615	3.52689743041992	0.1515375
3.60891842842102	-0.5881591	3.60891842842102	0.1501537
3.69093942642212	-0.5894106	3.69093942642212	0.1485329
3.77296042442322	-0.5915048	3.77296042442322	0.146494
3.85498142242432	-0.5920039	3.85498142242432	0.1432148
3.93700242042542	-0.5943223	3.93700242042542	0.1408144
4.01902341842651	-0.597617	4.01902341842651	0.1392223
4.10104441642761	-0.6033856	4.10104441642761	0.1373075
4.18306541442871	-0.6108195	4.18306541442871	0.1342916
4.26508641242981	-0.6171186	4.26508641242981	0.1304167
4.34710741043091	-0.6217545	4.34710741043091	0.1279662
4.42912840843201	-0.6234775	4.42912840843201	0.127768
4.51114940643311	-0.6243588	4.51114940643311	0.1263601
4.5931704044342	-0.6225768	4.5931704044342	0.1250511
4.6751914024353	-0.6201704	4.6751914024353	0.1231656
4.7572124004364	-0.6160979	4.7572124004364	0.1216117
4.8392333984375	-0.6117879	4.8392333984375	0.1209386
4.9212543964386	-0.6055542	4.9212543964386	0.1200343
5.0032753944397	-0.601862	5.0032753944397	0.1186186
5.0852963924408	-0.6029969	5.0852963924408	0.1166569
5.16731739044189	-0.6039522	5.16731739044189	0.1143742
5.24933838844299	-0.6050654	5.24933838844299	0.1127378
5.33135938644409	-0.6059932	5.33135938644409	0.1113222
5.41338038444519	-0.6066192	5.41338038444519	0.1095
5.49540138244629	-0.6068098	5.49540138244629	0.1083277
5.57742238044739	-0.606174	5.57742238044739	0.1074565
5.65944337844849	-0.6073288	5.65944337844849	0.10677
5.74146437644959	-0.6071346	5.74146437644959	0.1061195
5.82348537445068	-0.6060053	5.82348537445068	0.1061095
5.90550637245178	-0.6040493	5.90550637245178	0.1097255
5.98752737045288	-0.6021538	5.98752737045288	0.1094655
6.06954836845398	-0.5986552	6.06954836845398	0.1076239
6.15156936645508	-0.5934753	6.15156936645508	0.1059726
6.23359036445618	-0.5910737	6.23359036445618	0.10405
6.31561136245728	-0.589152	6.31561136245728	0.1054652
6.39763236045837	-0.5858792	6.39763236045837	0.1064282
6.47965335845947	-0.5809232	6.47965335845947	0.1075912
6.56167435646057	-0.5760177	6.56167435646057	0.1083574
6.64369535446167	-0.5707717	6.64369535446167	0.1071281
6.72571635246277	-0.566635	6.72571635246277	0.1050229
6.80773735046387	-0.5636209	6.80773735046387	0.1027035
6.88975834846497	-0.5626204	6.88975834846497	0.1012726
6.97177934646606	-0.5614287	6.97177934646606	0.0999805
7.05380034446716	-0.5580198	7.05380034446716	0.09934039
7.13582134246826	-0.556016	7.13582134246826	0.09737039
