Rt I-76 PA WB L1run220171111_0827_Rt 76 WB Begin_Profile_ODS1 (Profile 1 (Gocator2342)) - Distance (ft)	Rt I-76 PA WB L1run220171111_0827_Rt 76 WB Begin_Profile_ODS1 (Profile 1 (Gocator2342))_Full	Rt I-76 PA WB L1run220171111_0827_Rt 76 WB Begin_Profile_ODS2 (Profile 2 (Gocator2342)) - Distance (ft)	Rt I-76 PA WB L1run220171111_0827_Rt 76 WB Begin_Profile_ODS2 (Profile 2 (Gocator2342))_Full
-4.52995300292969E-06	0.05225353	-4.52995300292969E-06	-0.06638662
0.0820164680480957	0.05482937	0.0820164680480957	-0.06726427
0.164037466049194	0.05752844	0.164037466049194	-0.06773919
0.246058464050293	0.06007222	0.246058464050293	-0.06781135
0.328079462051392	0.0621307	0.328079462051392	-0.06648304
0.41010046005249	0.06348637	0.41010046005249	-0.07179064
0.492121458053589	0.05905936	0.492121458053589	-0.07210451
0.574142456054688	0.06031914	0.574142456054688	-0.07141089
0.656163454055786	0.06152841	0.656163454055786	-0.07185759
0.738184452056885	0.0620386	0.738184452056885	-0.07086573
0.820205450057983	0.06281294	0.820205450057983	-0.07055061
0.902226448059082	0.05846263	0.902226448059082	-0.07400827
0.984247446060181	0.05781338	0.984247446060181	-0.07266848
1.06626844406128	0.05838384	1.06626844406128	-0.07100203
1.14828944206238	0.05992617	1.14828944206238	-0.06947433
1.23031044006348	0.0619693	1.23031044006348	-0.06812164
1.31233143806458	0.06378459	1.31233143806458	-0.07252356
1.39435243606567	0.05995651	1.39435243606567	-0.07074134
1.47637343406677	0.06028734	1.47637343406677	-0.06806206
1.55839443206787	0.06287761	1.55839443206787	-0.0659468
1.64041543006897	0.06549	1.64041543006897	-0.06385961
1.72243642807007	0.06809971	1.72243642807007	-0.06295074
1.80445742607117	0.06944204	1.80445742607117	-0.0688018
1.88647842407227	0.06604894	1.88647842407227	-0.0689572
1.96849942207336	0.06791354	1.96849942207336	-0.06831495
2.05052042007446	0.07107634	2.05052042007446	-0.06672996
2.13254141807556	0.07416213	2.13254141807556	-0.06511588
2.21456241607666	0.07657003	2.21456241607666	-0.06427193
2.29658341407776	0.07222822	2.29658341407776	-0.06910064
2.37860441207886	0.07410926	2.37860441207886	-0.06921025
2.46062541007996	0.07581586	2.46062541007996	-0.06802431
2.54264640808105	0.07796606	2.54264640808105	-0.06742926
2.62466740608215	0.07865999	2.62466740608215	-0.06615091
2.70668840408325	0.07851744	2.70668840408325	-0.06949411
2.78870940208435	0.07365457	2.78870940208435	-0.06805319
2.87073040008545	0.07453187	2.87073040008545	-0.06589836
2.95275139808655	0.07626662	2.95275139808655	-0.06234093
3.03477239608765	0.0774168	3.03477239608765	-0.0572415
3.11679339408875	0.07950076	3.11679339408875	-0.05284891
3.19881439208984	0.08143894	3.19881439208984	-0.05462072
3.28083539009094	0.07715958	3.28083539009094	-0.05219769
3.36285638809204	0.0780787	3.36285638809204	-0.0480096
3.44487738609314	0.07884238	3.44487738609314	-0.04433577
3.52689838409424	0.08037194	3.52689838409424	-0.03977612
3.60891938209534	0.08322828	3.60891938209534	-0.03393189
3.69094038009644	0.08147142	3.69094038009644	-0.03413555
3.77296137809753	0.0834655	3.77296137809753	-0.03159775
3.85498237609863	0.08519933	3.85498237609863	-0.02934168
3.93700337409973	0.08744352	3.93700337409973	-0.0276573
4.01902437210083	0.08808839	4.01902437210083	-0.02552796
4.10104537010193	0.09090882	4.10104537010193	-0.02359645
4.18306636810303	0.08871928	4.18306636810303	-0.02741186
4.26508736610413	0.09103792	4.26508736610413	-0.02540168
4.34710836410522	0.09528621	4.34710836410522	-0.02513638
4.42912936210632	0.09859541	4.42912936210632	-0.02257211
4.51115036010742	0.1008243	4.51115036010742	-0.020652
4.59317135810852	0.1027604	4.59317135810852	-0.02247779
4.67519235610962	0.1009742	4.67519235610962	-0.01996376
4.75721335411072	0.1034291	4.75721335411072	-0.01679294
4.83923435211182	0.1053491	4.83923435211182	-0.01205346
4.92125535011292	0.1060608	4.92125535011292	-0.009794865
5.00327634811401	0.1081049	5.00327634811401	-0.006925289
5.08529734611511	0.1111154	5.08529734611511	-0.009148239
5.16731834411621	0.1085913	5.16731834411621	-0.007140149
5.24933934211731	0.1080707	5.24933934211731	-0.005360424
5.33136034011841	0.1083217	5.33136034011841	-0.003133815
5.41338133811951	0.1097963	5.41338133811951	-0.001890938
5.49540233612061	0.1132996	5.49540233612061	-0.000958532
5.5774233341217	0.1112361	5.5774233341217	-0.004279534
5.6594443321228	0.1122596	5.6594443321228	-0.001799698
5.7414653301239	0.1117008	5.7414653301239	-0.0004103894
5.823486328125	0.1118086	5.823486328125	0.0007543041
5.9055073261261	0.1128902	5.9055073261261	0.00212928
5.9875283241272	0.1150543	5.9875283241272	0.0008189009
6.0695493221283	0.1108502	6.0695493221283	0.003398207
6.15157032012939	0.1135195	6.15157032012939	0.005215094
6.23359131813049	0.1155166	6.23359131813049	0.007438811
6.31561231613159	0.1181747	6.31561231613159	0.009157591
6.39763331413269	0.120422	6.39763331413269	0.01113631
6.47965431213379	0.1230615	6.47965431213379	0.007898416
6.56167531013489	0.1199756	6.56167531013489	0.009891014
6.64369630813599	0.1216955	6.64369630813599	0.01080638
6.72571730613709	0.1240516	6.72571730613709	0.01147611
6.80773830413818	0.1272672	6.80773830413818	0.01362649
6.88975930213928	0.1296295	6.88975930213928	0.01566488
6.97178030014038	0.1313234	6.97178030014038	0.01199262
7.05380129814148	0.1281369	7.05380129814148	0.01249783
7.13582229614258	0.1299315	7.13582229614258	0.01329719
